PlayerName,Team,IPLYear,Matches,Innings,NotOut,TotalRuns,HighestScore,Average,BallsFaced,StrikeRate,Centuries,HalfCenturies,Ducks,Fours,Sixes
V Kohli ,RCB,2016,16,16,4,973,113,81.08,640,152.03,4,7,1,83,38
Shubman Gill ,GT,2023,17,17,2,890,129,59.33,564,157.8,3,4,1,85,33
JC Buttler ,RR,2022,17,17,2,863,116,57.53,579,149.05,4,4,0,83,45
DA Warner ,SRH,2016,17,17,3,848,93,60.57,560,151.42,0,9,1,88,31
V Kohli ,RCB,2024,15,15,3,741,113,61.75,479,154.69,1,5,0,62,38
KS Williamson ,SRH,2018,17,17,3,735,84,52.5,516,142.44,0,8,1,63,28
CH Gayle ,RCB,2012,15,14,2,733,128,61.08,456,160.74,1,7,0,46,59
MEK Hussey ,CSK,2013,17,17,3,733,95,52.35,566,129.5,0,6,0,81,17
F du Plessis ,RCB,2023,14,14,1,730,84,56.15,475,153.68,0,8,0,60,36
CH Gayle ,RCB,2013,16,16,4,708,175,59,453,156.29,1,4,0,57,51
DA Warner ,SRH,2019,12,12,2,692,100,69.2,481,143.86,1,8,0,57,21
AB de Villiers ,RCB,2016,16,16,3,687,129,52.84,407,168.79,1,6,1,57,37
RR Pant ,DC,2018,14,14,1,684,128,52.61,394,173.6,1,5,1,68,37
DP Conway ,CSK,2023,16,15,2,672,92,51.69,481,139.7,0,6,1,77,18
KL Rahul ,KXIP,2020,14,14,2,670,132,55.83,518,129.34,1,5,0,58,23
RV Uthappa ,KKR,2014,16,16,1,660,83,44,479,137.78,0,5,1,74,18
KL Rahul ,KXIP,2018,14,14,2,659,95,54.91,416,158.41,0,6,0,66,32
DA Warner ,SRH,2017,14,14,3,641,126,58.27,452,141.81,1,4,0,63,26
V Kohli ,RCB,2023,14,14,2,639,101,53.25,457,139.82,2,6,1,65,16
RD Gaikwad ,CSK,2021,16,16,2,635,101,45.35,466,136.26,1,4,0,64,23
V Kohli ,RCB,2013,16,16,2,634,99,45.28,457,138.73,0,6,0,64,22
F du Plessis ,CSK,2021,16,16,2,633,95,45.21,458,138.2,0,6,2,60,23
KL Rahul ,PBKS,2021,13,13,3,626,98,62.6,451,138.8,0,6,0,48,30
YBK Jaiswal ,RR,2023,14,14,1,625,124,48.07,382,163.61,1,5,1,82,26
SR Tendulkar ,MI,2009,15,15,2,618,89,47.53,466,132.61,0,5,0,86,3
S Dhawan ,DC,2020,17,17,3,618,106,44.14,427,144.73,2,4,4,67,12
SE Marsh ,KXIP,2007,11,11,2,616,115,68.44,441,139.68,1,5,0,59,26
KL Rahul ,LSG,2022,15,15,3,616,103,51.33,455,135.38,2,4,3,45,30
CH Gayle ,RCB,2011,12,12,3,608,107,67.55,332,183.13,2,3,2,56,44
SA Yadav ,MI,2023,16,16,2,605,103,43.21,334,181.13,1,5,1,65,28
AT Rayudu ,CSK,2018,16,16,2,602,100,43,402,149.75,1,3,1,53,34
KL Rahul ,KXIP,2019,14,14,3,593,100,53.9,438,135.38,1,6,0,49,25
RD Gaikwad ,CSK,2023,16,15,1,590,92,42.14,400,147.5,0,4,0,46,30
G Gambhir ,KKR,2012,17,17,1,590,93,36.87,411,143.55,0,6,2,64,17
S Dhawan ,DC,2021,16,16,1,587,92,39.13,471,124.62,0,3,0,63,16
RD Gaikwad ,CSK,2024,14,14,3,583,108,53,413,141.16,1,4,2,58,18
R Parag ,RR,2024,16,14,3,573,84,52.09,384,149.21,0,4,0,40,33
ML Hayden ,CSK,2009,12,12,1,572,89,52,395,144.81,0,5,0,60,22
JH Kallis ,RCB,2009,16,16,4,572,89,47.66,494,115.78,0,6,1,67,9
S Dhawan ,DCH,2012,15,15,1,569,84,40.64,439,129.61,0,5,0,58,18
TM Head ,SRH,2024,15,15,1,567,102,40.5,296,191.55,1,4,3,64,32
DR Smith ,CSK,2014,16,16,,566,79,35.37,416,136.05,0,5,0,50,34
DA Warner ,SRH,2015,14,14,1,562,91,43.23,359,156.54,0,7,0,65,21
AM Rahane ,RR,2012,16,16,2,560,103,40,433,129.33,1,3,2,73,10
V Kohli ,RCB,2011,16,16,4,557,71,46.41,460,121.08,0,4,0,55,16
SR Watson ,CSK,2018,15,15,1,555,117,39.64,359,154.59,2,2,1,44,35
SR Tendulkar ,MI,2011,16,16,3,553,100,42.53,488,113.31,1,2,0,67,5
GJ Maxwell ,KXIP,2014,16,16,,552,95,34.5,294,187.75,0,4,2,48,36
JC Buttler ,RR,2018,13,13,3,548,95,54.8,353,155.24,0,5,0,52,21
DA Warner ,SRH,2020,16,16,2,548,85,39.14,407,134.64,0,4,0,52,14
SK Raina ,CSK,2013,18,17,4,548,100,42.15,365,150.13,1,4,3,50,18
SR Watson ,RR,2013,16,16,2,543,101,38.78,380,142.89,1,2,0,59,22
LMP Simmons ,MI,2015,13,13,1,540,71,45,441,122.44,0,6,1,56,21
AM Rahane ,RR,2015,14,13,2,540,91,49.09,413,130.75,0,4,1,53,13
RG Sharma ,MI,2013,19,19,5,538,79,38.42,409,131.54,0,4,0,35,28
G Gambhir ,DC,2007,14,14,1,534,86,41.07,379,140.89,0,5,0,68,8
SV Samson ,RR,2024,16,15,4,531,86,48.27,346,153.46,0,5,1,48,24
V Kohli ,RCB,2018,14,14,3,530,92,48.18,381,139.1,0,4,0,52,18
Q de Kock ,MI,2019,16,16,1,529,81,35.26,398,132.91,0,4,1,45,25
DA Warner ,SRH,2014,14,14,3,528,90,48,375,140.8,0,6,1,39,24
B Sai Sudharsan ,GT,2024,12,12,1,527,103,47.9,373,141.28,1,2,0,48,16
SK Raina ,CSK,2014,16,16,3,523,87,40.23,359,145.68,0,5,0,51,19
S Dhawan ,DC,2019,16,16,1,521,97,34.73,384,135.67,0,5,1,64,11
KL Rahul ,LSG,2024,14,14,,520,82,37.14,382,136.12,0,4,0,45,19
SK Raina ,CSK,2009,16,16,5,520,83,47.27,364,142.85,0,4,0,45,22
SS Iyer ,DC,2020,17,17,2,519,88,34.6,421,123.27,0,3,0,40,16
Ishan Kishan ,MI,2020,14,13,4,516,99,57.33,354,145.76,0,4,1,36,30
DA Warner ,DC,2023,14,14,,516,86,36.85,392,131.63,0,6,2,69,10
ST Jayasuriya ,MI,2007,14,14,2,514,114,42.83,309,166.34,1,2,0,57,31
AB de Villiers ,RCB,2015,16,14,3,513,133,46.63,293,175.08,1,2,1,60,22
GJ Maxwell ,RCB,2021,15,14,2,513,78,42.75,356,144.1,0,6,1,48,21
SA Yadav ,MI,2018,14,14,,512,72,36.57,384,133.33,0,4,1,61,16
AD Russell ,KKR,2019,14,13,4,510,80,56.66,249,204.81,0,4,1,31,52
KD Karthik ,MI,2013,19,19,1,510,86,28.33,411,124.08,0,2,2,54,14
Q de Kock ,LSG,2022,15,15,1,508,140,36.28,341,148.97,1,3,0,47,23
V Kohli ,RCB,2015,16,16,5,505,82,45.9,386,130.82,0,3,0,35,23
SE Marsh ,KXIP,2011,14,13,1,504,95,42,344,146.51,0,4,0,52,20
Q de Kock ,MI,2020,16,16,2,503,78,35.92,358,140.5,0,4,1,46,22
G Gambhir ,KKR,2016,15,15,2,501,90,38.53,411,121.89,0,5,1,54,6
S Dhawan ,SRH,2016,17,17,4,501,82,38.53,429,116.78,0,4,1,51,8
N Pooran ,LSG,2024,14,14,6,499,75,62.37,280,178.21,0,3,1,35,36
G Gambhir ,KKR,2017,16,16,4,498,76,41.5,389,128.02,0,4,0,62,7
KD Karthik ,KKR,2018,16,16,6,498,52,49.8,337,147.77,0,2,0,49,16
S Dhawan ,SRH,2018,16,16,3,497,92,38.23,363,136.91,0,4,1,59,14
AC Gilchrist ,DCH,2009,16,16,,495,85,30.93,325,152.3,0,3,2,54,29
V Sehwag ,DC,2012,16,16,1,495,87,33,307,161.23,0,5,1,57,19
SC Ganguly ,KKR,2009,14,14,1,493,88,37.92,419,117.66,0,4,1,58,15
MEK Hussey ,CSK,2011,14,14,2,492,83,41,414,118.84,0,4,1,53,6
CH Gayle ,RCB,2015,14,14,2,491,117,40.91,333,147.44,1,2,0,39,38
CA Lynn ,KKR,2018,16,16,1,491,74,32.73,377,130.23,0,3,1,56,18
CH Gayle ,KXIP,2019,13,13,1,490,99,40.83,319,153.6,0,4,0,45,34
RG Sharma ,MI,2016,14,14,3,489,85,44.45,368,132.88,0,5,1,49,16
SP Narine ,KKR,2024,15,14,,488,109,34.85,270,180.74,1,3,1,50,33
RR Pant ,DC,2019,16,16,3,488,78,37.53,300,162.66,0,3,0,37,27
AM Rahane ,RR,2013,18,18,4,488,68,34.85,458,106.55,0,4,0,42,11
HH Pandya ,GT,2022,15,15,4,487,87,44.27,371,131.26,0,4,0,49,12
SV Samson ,RR,2021,14,14,2,484,119,40.33,354,136.72,1,2,0,45,17
Abhishek Sharma ,SRH,2024,16,16,1,484,75,32.26,237,204.21,0,3,0,36,42
Shubman Gill ,GT,2022,16,16,2,483,96,34.5,365,132.32,0,4,2,51,11
