PlayerName,Team,IPLYear,Matches,BallsBowled,OversBowled,Maidens,Innings,RunsGiven,WicketsTaken,BowlingAverage,Economy,BowlingStrikeRate,FourWickets,FiveWickets
HV Patel ,RCB,2021,15,338,56.2,0,15,459,32,14.34,8.14,10.56,1,1
DJ Bravo ,CSK,2013,18,375,62.3,0,18,497,32,15.53,7.95,11.71,1,0
K Rabada ,DC,2020,17,394,65.4,1,17,548,30,18.26,8.34,13.13,2,0
SL Malinga ,MI,2011,16,378,63,2,16,375,28,13.39,5.95,13.5,0,1
JP Faulkner ,RR,2013,16,379,63.1,2,16,427,28,15.25,6.75,13.53,0,2
Mohammed Shami ,GT,2023,17,390,65,2,17,522,28,18.64,8.03,13.92,2,0
MM Sharma ,GT,2023,14,265,44.1,0,14,361,27,13.37,8.17,9.81,2,1
JJ Bumrah ,MI,2020,15,360,60,2,15,404,27,14.96,6.73,13.33,2,0
YS Chahal ,RR,2022,17,408,68,0,17,527,27,19.51,7.75,15.11,1,1
Rashid Khan ,GT,2023,17,402,67,0,17,552,27,20.44,8.23,14.88,1,0
B Kumar ,SRH,2017,14,314,52.2,0,14,369,26,14.19,7.05,12.07,0,1
DJ Bravo ,CSK,2015,17,314,52.2,0,16,426,26,16.38,8.14,12.07,0,0
PW Hasaranga ,RCB,2022,16,342,57,1,16,430,26,16.53,7.54,13.15,1,1
Imran Tahir ,CSK,2019,17,386,64.2,1,17,431,26,16.57,6.69,14.84,2,0
K Rabada ,DC,2019,12,282,47,0,12,368,25,14.72,7.82,11.28,2,0
M Morkel ,DC,2012,16,378,63,1,16,453,25,18.12,7.19,15.12,1,0
TA Boult ,MI,2020,15,344,57.2,3,15,457,25,18.28,7.97,13.76,1,0
JD Unadkat ,RPS,2017,12,275,45.5,3,12,322,24,13.41,7.02,11.45,0,1
SP Narine ,KKR,2012,15,355,59.1,1,15,324,24,13.5,5.47,14.79,1,1
SL Malinga ,MI,2015,15,360,60,3,15,444,24,18.5,7.4,15,1,0
AJ Tye ,KXIP,2018,14,336,56,0,14,448,24,18.66,8,14,3,0
Avesh Khan ,DC,2021,16,366,61,0,16,450,24,18.75,7.37,15.25,0,0
Harbhajan Singh ,MI,2013,19,420,70,0,19,456,24,19,6.51,17.5,0,0
MG Johnson ,MI,2013,17,384,64,0,17,459,24,19.12,7.17,16,0,0
HV Patel ,PBKS,2024,14,294,49,0,14,477,24,19.87,9.73,12.25,0,0
K Rabada ,PBKS,2022,13,288,48,0,13,406,23,17.65,8.45,12.52,2,0
YS Chahal ,RCB,2015,15,281,46.5,0,14,415,23,18.04,8.86,12.21,0,0
RP Singh ,DCH,2009,16,358,59.4,1,16,417,23,18.13,6.98,15.56,1,0
MM Sharma ,CSK,2014,16,323,53.5,0,16,452,23,19.65,8.39,14.04,1,0
B Kumar ,SRH,2016,17,396,66,3,17,490,23,21.3,7.42,17.21,1,0
R Vinay Kumar ,RCB,2013,16,361,60.1,0,16,493,23,21.43,8.19,15.69,0,0
Sohail Tanvir ,RR,2007,11,247,41.1,0,11,266,22,12.09,6.46,11.22,1,1
SL Malinga ,MI,2012,14,333,55.3,1,14,350,22,15.9,6.3,15.13,1,0
SP Narine ,KKR,2013,16,384,64,1,16,350,22,15.9,5.46,17.45,2,0
MM Patel ,MI,2011,15,326,54.2,1,15,358,22,16.27,6.58,14.81,0,1
Umran Malik ,SRH,2022,14,295,49.1,1,14,444,22,20.18,9.03,13.4,1,1
A Nehra ,CSK,2015,16,372,62,0,16,449,22,20.4,7.24,16.9,1,0
DL Chahar ,CSK,2019,17,387,64.3,2,17,482,22,21.9,7.47,17.59,0,0
PP Chawla ,MI,2023,16,366,61,0,16,495,22,22.5,8.11,16.63,0,0
A Nortje ,DC,2020,16,366,61,0,16,512,22,23.27,8.39,16.63,0,0
A Kumble ,RCB,2009,16,355,59.1,1,16,347,21,16.52,5.86,16.9,1,1
S Aravind ,RCB,2011,13,276,46,0,13,368,21,17.52,8,13.14,1,0
A Mishra ,SRH,2013,17,372,62,1,17,394,21,18.76,6.35,17.71,1,0
YS Chahal ,RCB,2016,13,295,49.1,0,13,401,21,19.09,8.15,14.04,1,0
CV Varun ,KKR,2024,15,300,50,0,14,402,21,19.14,8.04,14.28,0,0
YS Chahal ,RCB,2020,15,343,57.1,0,15,405,21,19.28,7.08,16.33,0,0
SP Narine ,KKR,2014,16,384,64,0,16,407,21,19.38,6.35,18.28,2,0
